icao24,callsign,estdepartureairport,estarrivalairport,firstseen,lastseen,takeofftime,landingtime,takeofflatitude,takeofflongitude,landinglatitude,landinglongitude
e480d1,TAM3020 ,SBSP,SBBR,1709856619,1709861409,,,,,,
e49a86,AZU6008 ,SBSP,SBBR,1709859238,1709864266,,,,,,
e48dc1,TAM3022 ,SBSP,SBBR,1709859767,1709864757,,,,,,
e48c05,GLO1402 ,SBSP,SBBR,1709889022,1709893798,,,,,,
e4805d,TAM3000 ,SBSP,SBBR,1709891259,1709896036,,,,,,
e49524,GLO1430 ,SBSP,SBBR,1709891590,1709896258,,,,,,
e48135,TAM3537 ,SBSP,SBBR,1709894243,1709898940,,,,,,
e494bb,GLO1440 ,SBSP,SBBR,1709897209,1709901927,,,,,,
e49a86,AZU6000 ,SBSP,SBBR,1709900394,1709905289,,,,,,
e49958,GLO1442 ,SBSP,SBBR,1709900539,1709905525,,,,,,
e4851b,TAM3004 ,SBSP,SBBR,1709901276,1709906009,,,,,,
e48198,TAM3006 ,SBSP,SBBR,1709903965,1709908823,,,,,,
e48855,GLO1444 ,SBSP,SBBR,1709909770,1709914582,,,,,,
e48c2f,GLO1454 ,SBSP,SBBR,1709931216,1709935934,,,,,,
e49641,AZU4524 ,SBSP,SBBR,1709931874,1709937029,,,,,,
e4952f,GLO1464 ,SBSP,SBBR,1709942502,1709947276,,,,,,
e4851b,TAM3018 ,SBSP,SBBR,1709943310,1709948001,,,,,,
e48396,GLO1452 ,SBSP,SBBR,1710788201,1710793739,,,,,,
e4948b,AZU6006 ,SBSP,SBBR,1710788941,1710794069,,,,,,
e48e39,PRCBA   ,SBSP,SBBR,1710791693,1710796834,,,,,,
e4805d,TAM3104 ,SBSP,SBBR,1710792096,1710801396,,,,,,
e47fa8,GLO1454 ,SBSP,SBBR,1710793222,1710797994,,,,,,
e49523,GLO1472 ,SBSP,SBBR,1710807876,1710812775,,,,,,
e47fa6,TAM3020 ,SBSP,SBBR,1710808440,1710813203,,,,,,
e49a8b,AZU6008 ,SBSP,SBBR,1710809097,1710814086,,,,,,
e47ed1,GLO1402 ,SBSP,SBBR,1710839461,1710844121,,,,,,
e4929c,AZU6011 ,SBSP,SBBR,1710841351,1710846084,,,,,,
e49697,TAM3000 ,SBSP,SBBR,1710841817,1710846627,,,,,,
e497fa,PSUDS   ,SBSP,SBBR,1710845473,1710869555,,,,,,
e4914c,PRVTO   ,SBSP,SBBR,1710850360,1710855462,,,,,,
e49a8b,AZU6000 ,SBSP,SBBR,1710852170,1710857319,,,,,,
e486c2,TAM3004 ,SBSP,SBBR,1710852630,1710857494,,,,,,
e4903f,PTFLE   ,SBSP,SBBR,1710853120,1710858135,,,,,,
e48c4c,TAM3006 ,SBSP,SBBR,1710854675,1710859308,,,,,,
e495db,TAM3008 ,SBSP,SBBR,1710859195,1710864079,,,,,,
e4919f,GLO1444 ,SBSP,SBBR,1710860543,1710865346,,,,,,
e49d21,AZU6002 ,SBSP,SBBR,1710861948,1710866919,,,,,,
e47f76,PRCON   ,SBSP,SBBR,1710862231,1710871507,,,,,,
e4997c,TAM3108 ,SBSP,SBBR,1710865931,1710870798,,,,,,
e48e92,GLO1446 ,SBSP,SBBR,1710866494,1710871363,,,,,,
e49aab,TAM3709 ,SBSP,SBBR,1710868380,1710882551,,,,,,
e49a8b,AZU6004 ,SBSP,SBBR,1710869654,1710874575,,,,,,
e48c05,GLO1448 ,SBSP,SBBR,1710870264,1710875242,,,,,,
e48044,TAM3581 ,SBSP,SBBR,1710872610,1710877527,,,,,,
e48044,TAM3581 ,SBSP,SBBR,1710872610,1710877527,,,,,,
e4950d,GLO1452 ,SBSP,SBBR,1710872820,1710877726,,,,,,
e49763,TAM3030 ,SBSP,SBBR,1710873120,1710888308,,,,,,
e4929c,AZU6006 ,SBSP,SBBR,1710874286,1710879234,,,,,,
e49524,GLO1556 ,SBSP,SBBR,1710877391,1710887217,,,,,,
e48db2,GLO1454 ,SBSP,SBBR,1710881483,1710886590,,,,,,
e49d21,AZU4524 ,SBSP,SBBR,1710883826,1710889190,,,,,,
e49475,GLO1456 ,SBSP,SBBR,1710884253,1710889192,,,,,,
e4851a,TAM3855 ,SBSP,SBBR,1710974931,1710985991,,,,,,
e4808c,TAM3020 ,SBSP,SBBR,1710979518,1710984352,,,,,,
e48d1a,PPJFZ   ,SBSP,SBBR,1710979653,1710984569,,,,,,
e49a9f,AZU6008 ,SBSP,SBBR,1710981762,1710986872,,,,,,
e4814b,GLO1472 ,SBSP,SBBR,1710982643,1710987451,,,,,,
e4827c,TAM3022 ,SBSP,SBBR,1710985050,1710989508,,,,,,
e492cf,AZU6011 ,SBSP,SBBR,1711013855,1711018455,,,,,,
e486c3,TAM3000 ,SBSP,SBBR,1711014000,1711018729,,,,,,
e4999e,TAM3537 ,SBSP,SBBR,1711018537,1711023366,,,,,,
e4988d,GLO1440 ,SBSP,SBBR,1711020645,1711025336,,,,,,
e48eff,GLO1442 ,SBSP,SBBR,1711023446,1711028288,,,,,,
e49764,TAM3004 ,SBSP,SBBR,1711023660,1711028399,,,,,,
e49a9f,AZU6000 ,SBSP,SBBR,1711024130,1711029250,,,,,,
e48275,TAM3008 ,SBSP,SBBR,1711033384,1711037999,,,,,,
e49270,GLO1444 ,SBSP,SBBR,1711033563,1711038448,,,,,,
e49a87,AZU6002 ,SBSP,SBBR,1711035032,1711041140,,,,,,
e49c5a,TAM3108 ,SBSP,SBBR,1711041848,1711046939,,,,,,
e4982e,PSJES   ,SBSP,SBBR,1711042628,1711047748,,,,,,
e4827e,TAM3709 ,SBSP,SBBR,1711042927,1711055700,,,,,,
e48502,GLO1448 ,SBSP,SBBR,1711043804,1711048588,,,,,,
e48eff,GLO1985 ,SBSP,SBBR,1711044184,1711060059,,,,,,
e49a59,GLO1452 ,SBSP,SBBR,1711047284,1711052038,,,,,,
e493b9,AZU6006 ,SBSP,SBBR,1711047871,1711052689,,,,,,
e48273,TAM3581 ,SBSP,SBBR,1711048500,1711053439,,,,,,
e47f76,PRCON   ,SBSP,SBBR,1711048833,1711054125,,,,,,
e48db2,GLO1741 ,SBSP,SBBR,1711050900,1711060393,,,,,,
e48274,TAM3757 ,SBSP,SBBR,1711051740,1711061939,,,,,,
e4988b,GLO1454 ,SBSP,SBBR,1711052674,1711057172,,,,,,
e49a96,AZU4524 ,SBSP,SBBR,1711055450,1711060180,,,,,,
e48fb6,GLO1456 ,SBSP,SBBR,1711056016,1711061042,,,,,,
e4926f,GLO1460 ,SBSP,SBBR,1711061764,1711066587,,,,,,
