icao24,callsign,estdepartureairport,estarrivalairport,firstseen,lastseen,takeofftime,landingtime,takeofflatitude,takeofflongitude,landinglatitude,landinglongitude
e49aab,TAM3008 ,SBSP,SBBR,1709909855,1709914255,,,,,,
e495df,AZU6002 ,SBSP,SBBR,1709911380,1709916171,,,,,,
e49c5a,TAM3108 ,SBSP,SBBR,1709914606,1709919357,,,,,,
e48f02,GLO1446 ,SBSP,SBBR,1709917397,1709922442,,,,,,
e49a86,AZU6004 ,SBSP,SBBR,1709918854,1709923707,,,,,,
e4894e,TAM3709 ,SBSP,SBBR,1709919423,1709932799,,,,,,
e47f70,GLO1448 ,SBSP,SBBR,1709920471,1709925292,,,,,,
e48273,TAM3176 ,SBSP,SBBR,1709925750,1709937968,,,,,,
e49956,GLO1452 ,SBSP,SBBR,1709925871,1709931009,,,,,,
e4929c,AZU6006 ,SBSP,SBBR,1709927022,1709931831,,,,,,
e48014,TAM3104 ,SBSP,SBBR,1709931050,1709943709,,,,,,
e48dc1,TAM3020 ,SBSP,SBBR,1709944203,1709949313,,,,,,
e48987,GLO1472 ,SBSP,SBBR,1709944493,1709949089,,,,,,
e49a86,AZU6008 ,SBSP,SBBR,1709944833,1709950014,,,,,,
e48135,TAM3022 ,SBSP,SBBR,1709947240,1709952007,,,,,,
e48198,TAM3004 ,SBSP,SBBR,1709983741,1709988407,,,,,,
e49b51,GLO1440 ,SBSP,SBBR,1709984155,1709988654,,,,,,
e495d8,AZU4539 ,SBSP,SBBR,1709991423,1710003111,,,,,,
e48274,TAM3002 ,SBSP,SBBR,1709995413,1710000102,,,,,,
e48c2f,GLO1444 ,SBSP,SBBR,1709996407,1710001243,,,,,,
e486c1,TAM3709 ,SBSP,SBBR,1710002524,1710016238,,,,,,
e4805d,TAM3609 ,SBSP,SBBR,1710005063,1710009911,,,,,,
e49476,GLO1448 ,SBSP,SBBR,1710005860,1710010739,,,,,,
e4999d,TAM3098 ,SBSP,SBBR,1710013085,1710024342,,,,,,
e4827c,TAM3016 ,SBSP,SBBR,1710014228,1710019020,,,,,,
e491d6,AZU6006 ,SBSP,SBBR,1710014769,1710019731,,,,,,
e49270,GLO1456 ,SBSP,SBBR,1710018036,1710022634,,,,,,
