time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711213603,e48f12,-23.639645334017473,-46.64753464033015,76.50700751304362,147.91294075385105,13.655040000000001,922.0200000000001,990.6000000000001,TAM3609 
1711213604,e48f12,-23.64025051310915,-46.64717188421287,76.50700751304362,147.91294075385105,13.004800000000001,937.26,1013.4600000000002,TAM3609 
1711213605,e48f12,-23.640855692200773,-46.64675730579302,77.216313573007,147.79230202714092,11.3792,952.5,1036.32,TAM3609 
1711213606,e48f12,-23.641460871292395,-46.646290905070714,77.216313573007,147.79230202714092,10.72896,960.12,1028.7,TAM3609 
1711213607,e48f12,-23.641460871292395,-46.646290905070714,77.216313573007,147.79230202714092,9.7536,960.12,1036.32,TAM3609 
1711213608,e48f12,-23.642717781713486,-46.64546174823113,77.216313573007,147.79230202714092,8.77824,982.98,1066.8,TAM3609 
1711213609,e48f12,-23.643264770507812,-46.645100911458314,77.216313573007,147.79230202714092,7.80288,990.6,1059.18,TAM3609 
1711213610,e48f12,-23.644088745117188,-46.644541422526004,77.4917295915883,147.4704617216689,6.827520000000001,998.22,1082.04,TAM3609 
1711213611,e48f12,-23.644393662274922,-46.644321657576654,77.4917295915883,147.4704617216689,6.502400000000001,1005.84,1089.66,TAM3609 
1711213612,e48f12,-23.645095825195312,-46.643829345703125,78.63592486747162,147.55755621627887,5.8521600000000005,1013.46,1104.9,TAM3609 
1711213613,e48f12,-23.645736694335938,-46.64337158203125,78.63592486747162,147.55755621627887,5.20192,1021.08,1097.28,TAM3609 
1711213614,e48f12,-23.646255751787635,-46.64302610001471,78.91309373969621,147.24233119887444,4.55168,1021.08,1104.9,TAM3609 
1711213615,e48f12,-23.646954035354895,-46.64255969929246,80.05680932804225,147.3311394659881,4.22656,1028.7,1120.14,TAM3609 
1711213616,e48f12,-23.647750854492188,-46.641998291015625,80.05680932804225,147.3311394659881,4.22656,1036.3200000000002,1120.14,TAM3609 
1711213617,e48f12,-23.648397154727263,-46.641523253242894,80.49034949140972,147.52880770915152,3.90144,1036.3200000000002,1120.14,TAM3609 
1711213618,e48f12,-23.64867646815412,-46.64136778633548,81.20071183366747,147.4174457900763,3.90144,1036.3200000000002,1127.7600000000002,TAM3609 
1711213619,e48f12,-23.649444580078125,-46.640828450520814,81.91137560715161,147.30801581742793,3.90144,1043.94,1127.76,TAM3609 
1711213620,e48f12,-23.650166139764337,-46.64038316258842,82.50533482149537,147.9946167919165,3.2512000000000003,1051.56,1135.3799999999999,TAM3609 
1711213621,e48f12,-23.65067821438032,-46.64007222877359,83.46685455542256,149.6418845412334,2.60096,1051.56,1143.0,TAM3609 
1711213622,e48f12,-23.651321411132812,-46.63976033528644,84.89728913157253,152.969139740157,2.60096,1051.56,1143.0,TAM3609 
1711213623,e48f12,-23.652099609375,-46.639353434244754,85.62209107290208,155.12868532172303,2.27584,1059.18,1150.6200000000001,TAM3609 
1711213624,e48f12,-23.65283203125,-46.639048258463504,85.62209107290208,155.12868532172303,1.95072,1059.18,1150.6200000000001,TAM3609 
1711213625,e48f12,-23.653750662076277,-46.638776671211644,87.72891831034973,159.75854752570672,1.30048,1066.8,1150.6200000000001,TAM3609 
1711213626,e48f12,-23.654542050119176,-46.63851755969927,89.15479271172484,162.1923521643036,0.97536,1066.8,1158.24,TAM3609 
