time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711100108,e4948c,-23.63836669921875,-46.648457845052064,,,,982.98,,
1711100109,e4948c,-23.6390867071637,-46.64794921875,,,,1005.84,,
1711100110,e4948c,-23.639877319335938,-46.64738972981769,91.89559697341666,147.1105977676544,17.881600000000002,1028.7,1074.42,
1711100111,e4948c,-23.64062293101165,-46.64686095039798,92.32800866730832,147.28395544110717,16.90624,1043.94,1097.28,
1711100112,e4948c,-23.641274662341118,-46.646446371978186,92.76125770546004,147.45569531219533,15.60576,1059.18,1104.9,AZU6011 
1711100113,e4948c,-23.641600528005824,-46.64618726046581,92.76125770546004,147.45569531219533,15.60576,1066.8,1112.52,AZU6011 
1711100114,e4948c,-23.642349243164062,-46.645660400390625,93.47179919990182,147.35950872673544,14.305280000000002,1082.04,1120.1399999999999,AZU6011 
1711100115,e4948c,-23.643081665039062,-46.64520263671875,93.90540773997799,147.52880770915152,13.655040000000001,1097.28,1135.3799999999999,AZU6011 
1711100116,e4948c,-23.64385986328125,-46.64464314778644,94.61574833585757,147.43323518809564,13.655040000000001,1112.52,1158.24,AZU6011 
1711100117,e4948c,-23.64459228515625,-46.644134521484375,95.04970700015667,147.60015982608067,13.655040000000001,1127.76,1173.48,AZU6011 
1711100118,e4948c,-23.645464363744736,-46.643596145341974,96.25603302350572,148.7736615321707,13.004800000000001,1143.0,1196.34,AZU6011 
1711100119,e4948c,-23.64592988612287,-46.643285211527086,96.25603302350572,148.7736615321707,12.679680000000001,1150.6200000000001,1196.3400000000001,AZU6011 
1711100120,e4948c,-23.647093692068324,-46.642611521594915,96.61280234522536,149.6117981484552,12.679680000000001,1165.8600000000001,1211.5800000000002,AZU6011 
1711100121,e4948c,-23.647933959960938,-46.64215087890625,98.0214961158137,152.49355359990082,12.679680000000001,1181.1000000000001,1226.82,AZU6011 
1711100122,e4948c,-23.648712158203125,-46.641743977864564,98.24802971295316,154.2399887624919,13.004800000000001,1196.3400000000001,1257.3000000000002,AZU6011 
1711100123,e4948c,-23.649627685546875,-46.64133707682288,99.03548069141766,156.09794958898917,13.329920000000001,1211.5800000000002,1264.92,AZU6011 
1711100124,e4948c,-23.650538557666835,-46.640953207915686,99.44882478346499,157.81332210655202,13.329920000000001,1226.8200000000002,1280.16,AZU6011 
1711100125,e4948c,-23.650955200195312,-46.64072672526038,100.25456373316382,159.89130012486584,13.655040000000001,1234.44,1295.4,AZU6011 
1711100126,e4948c,-23.652260990466118,-46.64033134028597,100.70101683004056,161.8427345256207,13.980160000000001,1249.68,1310.64,AZU6011 
1711100127,e4948c,-23.65264892578125,-46.640218098958314,100.70101683004056,161.8427345256207,14.305280000000002,1257.3,1310.6399999999999,AZU6011 
1711100128,e4948c,-23.653611005362848,-46.63996858416863,101.61538750784833,164.1342921972262,14.630400000000002,1272.54,1325.8799999999999,AZU6011 
1711100129,e4948c,-23.655029296875,-46.63970947265625,102.18935091509432,166.3135432701897,14.955520000000002,1295.4,1348.74,AZU6011 
1711100130,e4948c,-23.655892065015905,-46.639554005748835,103.10078976054179,171.1016869355374,15.280640000000002,1310.64,1371.6000000000001,AZU6011 
1711100131,e4948c,-23.656823109772233,-46.639502183446325,103.10078976054179,171.1016869355374,15.60576,1325.88,1371.6,AZU6011 
1711100132,e4948c,-23.657195527674787,-46.63945036114387,104.02078033847545,173.75368437900988,15.60576,1333.5,1386.84,AZU6011 
1711100133,e4948c,-23.658638647047155,-46.63945036114387,104.68018967013808,176.05481377096245,15.93088,1356.3600000000001,1409.7,AZU6011 
1711100134,e4948c,-23.659523139565692,-46.63945036114387,105.97671264312945,180.27813266729635,15.93088,1379.22,1432.56,AZU6011 
1711100135,e4948c,-23.660430908203125,-46.63950602213538,105.97671264312945,180.27813266729635,15.93088,1394.46,1440.18,AZU6011 
1711100136,e4948c,-23.661338676840614,-46.639554005748835,107.1538814745661,183.02724518227998,15.93088,1409.7,1478.28,AZU6011 
1711100137,e4948c,-23.662781796212926,-46.63965765035374,107.1538814745661,183.02724518227998,15.93088,1432.5600000000002,1485.9,AZU6011 
1711100138,e4948c,-23.663223266601562,-46.63970947265625,107.91681493228792,184.922418187136,15.60576,1440.18,1501.14,AZU6011 
1711100139,e4948c,-23.664321899414062,-46.63981119791663,107.91681493228792,184.922418187136,15.60576,1455.42,1501.14,AZU6011 
1711100140,e4948c,-23.665374755859375,-46.639963785807254,108.52208068661419,185.4403320310055,15.280640000000002,1470.66,1524.0,AZU6011 
1711100141,e4948c,-23.666412870762713,-46.64007222877359,109.7020920707592,186.19183428484206,14.955520000000002,1485.9,1546.86,AZU6011 
1711100142,e4948c,-23.667388916015625,-46.640218098958314,110.78118846760309,186.39895662736893,14.630400000000002,1501.14,1569.72,AZU6011 
1711100143,e4948c,-23.668258666992188,-46.64031982421875,110.78118846760309,186.39895662736893,14.630400000000002,1516.38,1569.72,AZU6011 
1711100144,e4948c,-23.668833587129257,-46.64038316258842,111.35068780668398,186.63251461513846,14.305280000000002,1524.0,1584.96,AZU6011 
1711100145,e4948c,-23.670323258739415,-46.640590451798346,111.86170460966173,186.60208022964798,14.305280000000002,1546.8600000000001,1600.2,AZU6011 
1711100146,e4948c,-23.6712543034958,-46.64069409640331,111.86170460966173,186.60208022964798,14.305280000000002,1562.1000000000001,1600.2,AZU6011 
1711100147,e4948c,-23.671737670898438,-46.640777587890625,113.45443985709696,186.77054754478476,14.305280000000002,1562.1000000000001,1630.68,AZU6011 
1711100148,e4948c,-23.673660278320312,-46.64098103841144,114.476216905204,186.70983680775691,13.980160000000001,1592.5800000000002,1661.16,AZU6011 
1711100149,e4948c,-23.673660278320312,-46.64098103841144,115.43967466826189,186.3965852114722,13.980160000000001,1592.5800000000002,1668.7800000000002,AZU6011 
1711100150,e4948c,-23.6748046875,-46.641133626302064,115.43967466826189,186.3965852114722,13.980160000000001,1607.8200000000002,1668.7800000000002,AZU6011 
1711100151,e4948c,-23.676468154131385,-46.641315964033026,116.46221380009914,186.3401917459099,13.980160000000001,1630.68,1691.64,AZU6011 
1711100152,e4948c,-23.676468154131385,-46.641315964033026,117.48486379086859,186.28477998415954,13.655040000000001,1630.68,1714.5,AZU6011 
1711100153,e4948c,-23.678656109308804,-46.641575075545404,117.94126583765396,186.00900595749454,13.655040000000001,1661.16,1729.7400000000002,AZU6011 
1711100154,e4948c,-23.679214736162635,-46.64167872015037,118.96454932321956,185.9571311147082,13.329920000000001,1668.78,1752.6,AZU6011 
1711100155,e4948c,-23.679214736162635,-46.64167872015037,118.96454932321956,185.9571311147082,13.329920000000001,1668.78,1752.6,AZU6011 
1711100156,e4948c,-23.681304931640625,-46.64189656575519,119.47622716552625,185.93152692491975,13.329920000000001,1691.64,1752.6,AZU6011 
1711100157,e4948c,-23.68298546742585,-46.64209329857016,120.49965351629291,185.88097090913118,13.004800000000001,1714.5,1767.8400000000001,AZU6011 
1711100158,e4948c,-23.68442858679822,-46.642248765477575,121.98399105280824,185.56633214269095,13.004800000000001,1729.74,1813.56,AZU6011 
1711100159,e4948c,-23.685545840505824,-46.64235241008254,122.49601939145994,185.54299208750408,13.004800000000001,1744.98,1821.18,AZU6011 
1711100160,e4948c,-23.68670654296875,-46.6424560546875,123.52013629238918,185.49689250573556,13.004800000000001,1760.22,1828.8000000000002,AZU6011 
1711100161,e4948c,-23.68778034792109,-46.64255969929246,124.0322243574086,185.4741282006092,13.004800000000001,1767.8400000000001,1851.66,AZU6011 
1711100162,e4948c,-23.68843207925056,-46.64266334389737,124.0322243574086,185.4741282006092,13.004800000000001,1775.46,1851.66,AZU6011 
1711100163,e4948c,-23.689595885196013,-46.64276698850233,125.05645850388395,185.42915890721713,13.004800000000001,1790.7,1859.28,AZU6011 
1711100164,e4948c,-23.690852795617047,-46.64287063310729,126.59295124414054,185.3630694200467,13.329920000000001,1805.94,1889.76,AZU6011 
1711100165,e4948c,-23.69210970603814,-46.64302610001471,127.10515231731215,185.34139467431177,13.655040000000001,1821.18,1912.6200000000001,AZU6011 
1711100166,e4948c,-23.693599377648297,-46.64318156692218,127.6173714341867,185.31989391780684,14.305280000000002,1836.42,1927.8600000000001,AZU6011 
1711100167,e4948c,-23.693599377648297,-46.64318156692218,128.6418629368919,185.2774060829072,14.305280000000002,1836.42,1927.8600000000001,AZU6011 
1711100168,e4948c,-23.6949462890625,-46.643320719401004,128.6418629368919,185.2774060829072,14.305280000000002,1859.2800000000002,1920.24,AZU6011 
1711100169,e4948c,-23.696625273106463,-46.64349250073701,129.66642406193702,185.23558966179843,13.004800000000001,1874.52,1965.96,AZU6011 
1711100170,e4948c,-23.697789079051915,-46.643596145341974,130.6910531718953,185.1944289077348,12.029440000000001,1889.76,1981.2,AZU6011 
1711100171,e4948c,-23.69842529296875,-46.6436767578125,131.2033927234777,185.17408961873716,11.704320000000001,1897.38,1996.44,AZU6011 
1711100172,e4948c,-23.699752807617188,-46.64377848307288,131.71574868018382,185.1539085612278,11.3792,1912.6200000000001,2011.68,AZU6011 
1711100173,e4948c,-23.70086152674787,-46.643907079156804,132.22812085131454,185.13388390084478,10.40384,1920.24,2011.68,AZU6011 
1711100174,e4948c,-23.7022705078125,-46.64403279622394,132.27514739148558,185.35582504285517,10.07872,1935.48,2026.92,AZU6011 
1711100175,e4948c,-23.703460693359375,-46.644185384114564,132.27514739148558,185.35582504285517,10.07872,1943.1000000000001,2026.92,AZU6011 
1711100176,e4948c,-23.70505122815149,-46.644321657576654,132.27514739148558,185.35582504285517,9.42848,1958.3400000000001,2049.78,AZU6011 
1711100177,e4948c,-23.706161499023438,-46.644439697265625,132.78735412751473,185.33510574065573,9.42848,1965.96,2065.02,AZU6011 
1711100178,e4948c,-23.706820213188564,-46.64452894678652,132.78735412751473,185.33510574065573,8.77824,1973.5800000000002,2072.6400000000003,AZU6011 
