time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711137083,e49697,-23.638807393736784,-46.64805286335496,78.48095716721431,147.0391121160223,9.7536,952.5,1028.7,
1711137084,e49697,-23.639459125066196,-46.64758646263266,79.6242323892797,147.1313210666325,9.10336,967.74,1043.94,
1711137085,e49697,-23.640297065346942,-46.64696459500294,80.05680932804225,147.3311394659881,9.10336,975.36,1051.56,TAM3104 
1711137086,e49697,-23.640975952148438,-46.64652506510413,80.33566464597463,147.02227668618352,9.10336,990.6,1059.18,TAM3104 
1711137087,e49697,-23.641274662341118,-46.646290905070714,81.04738277794984,146.91514707126504,8.77824,990.6,1066.8,TAM3104 
1711137088,e49697,-23.641891479492188,-46.64586385091144,81.47890034773764,147.112622925985,9.10336,998.22,1074.42,TAM3104 
1711137089,e49697,-23.64276123046875,-46.64525349934894,81.47890034773764,147.112622925985,9.10336,1013.46,1082.04,TAM3104 
1711137090,e49697,-23.643090199615983,-46.645047169811335,82.19037874773666,147.00620107409216,8.77824,1021.08,1097.28,TAM3104 
1711137091,e49697,-23.643997192382812,-46.64438883463538,82.62233303371421,147.20046872738078,9.7536,1036.3200000000002,1112.5200000000002,TAM3104 
1711137092,e49697,-23.64462642346399,-46.643907079156804,82.90213583516883,146.90160623816757,10.07872,1043.94,1112.5200000000002,TAM3104 
1711137093,e49697,-23.645187377929688,-46.643524169921875,83.33357659748344,147.0947570770121,9.10336,1051.56,1120.1399999999999,TAM3104 
1711137094,e49697,-23.645790229409442,-46.64312974461967,84.04509903402958,146.99083497903928,9.10336,1066.8,1135.38,TAM3104 
1711137095,e49697,-23.646102905273438,-46.642913818359375,84.47696813127375,147.18091607900556,9.10336,1066.8,1143.0,TAM3104 
1711137096,e49697,-23.646560668945312,-46.642608642578125,84.9097575248152,147.3690615259255,8.77824,1074.42,1150.6200000000001,TAM3104 
1711137097,e49697,-23.64793163234907,-46.64162689784786,85.50455473179193,148.0311574626723,8.128,1089.66,1165.8600000000001,TAM3104 
1711137098,e49697,-23.64825439453125,-46.641438802083314,86.55052089788067,148.86102756302114,6.827520000000001,1097.28,1173.48,TAM3104 
1711137099,e49697,-23.648583363678483,-46.641212319428064,86.55052089788067,148.86102756302114,6.827520000000001,1097.28,1173.48,TAM3104 
1711137100,e49697,-23.64971923828125,-46.640574137369754,87.43278099542161,152.68110048985125,7.477760000000001,1112.52,1181.1000000000001,TAM3104 
1711137101,e49697,-23.650405883789062,-46.640218098958314,88.36015624783117,154.4792874684246,7.477760000000001,1120.14,1196.3400000000001,TAM3104 
1711137102,e49697,-23.651138305664062,-46.639862060546875,88.9631208665258,156.84491424603442,7.80288,1127.76,1203.96,TAM3104 
1711137103,e49697,-23.651962280273438,-46.63950602213538,89.71555277605533,159.17478195763474,7.152640000000001,1135.38,1211.5800000000002,TAM3104 
1711137104,e49697,-23.65281961731995,-46.639191249631494,90.29188358061027,161.04888694731315,7.80288,1143.0,1219.2,TAM3104 
1711137105,e49697,-23.653701782226562,-46.63889567057288,91.30620170838965,163.3007557660064,7.477760000000001,1150.6200000000001,1226.8200000000002,TAM3104 
1711137106,e49697,-23.65411376953125,-46.6387939453125,91.70676773654063,166.04170992548862,7.80288,1158.24,1234.44,TAM3104 
1711137107,e49697,-23.655007572497368,-46.63862120430423,92.81972683052534,168.81462337218704,8.128,1165.8600000000001,1249.68,TAM3104 
1711137108,e49697,-23.655845512778114,-46.638465737396814,92.81972683052534,168.81462337218704,8.45312,1173.48,1242.0600000000002,TAM3104 
1711137109,e49697,-23.656768798828125,-46.638336181640625,94.13762949330602,174.04016088928694,8.77824,1181.1000000000001,1264.92,TAM3104 
1711137110,e49697,-23.657940363479895,-46.63825844818689,94.85878657575165,176.26860300083956,8.45312,1196.3400000000001,1272.54,TAM3104 
1711137111,e49697,-23.658824855998432,-46.63825844818689,95.73635595863232,178.1523897340054,8.45312,1203.96,1287.78,TAM3104 
1711137112,e49697,-23.659286499023438,-46.63823445638019,96.20652991753381,179.387234277736,8.77824,1211.5800000000002,1295.4,TAM3104 
1711137113,e49697,-23.65970934851697,-46.63825844818689,96.20652991753381,179.387234277736,8.77824,1211.5800000000002,1287.7800000000002,TAM3104 
1711137114,e49697,-23.661117553710938,-46.63828531901038,97.27889832854787,181.81830296445182,8.77824,1226.8200000000002,1310.64,TAM3104 
1711137115,e49697,-23.6619873046875,-46.638336181640625,97.85395635726547,182.71198346744495,8.77824,1234.44,1318.26,TAM3104 
1711137116,e49697,-23.66306110963984,-46.638413915094304,98.4216212609601,183.2961159725463,9.10336,1249.68,1333.5,TAM3104 
1711137117,e49697,-23.663497924804688,-46.638437906901004,98.99939805268257,183.87348972434458,8.77824,1249.68,1333.5,TAM3104 
1711137118,e49697,-23.66436767578125,-46.63848876953125,100.10001594264656,184.4212894214306,9.10336,1257.3,1341.12,TAM3104 
