time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711233792,e49a47,-23.640151977539062,-46.647491455078125,62.55309042545988,148.79380861217655,5.8521600000000005,914.4000000000001,998.2200000000001,2255    
1711233793,e49a47,-23.640609741210938,-46.647186279296875,63.25987990160474,148.63669778604995,4.8768,922.0200000000001,998.2200000000001,2255    
1711233794,e49a47,-23.64108845338984,-46.64686095039798,63.69971828754937,148.877529803208,4.55168,922.0200000000001,1005.8400000000001,2255    
1711233795,e49a47,-23.641571044921875,-46.646575927734375,63.96713452290712,148.4830600274053,5.20192,929.6400000000001,1005.8400000000001,2255    
1711233796,e49a47,-23.642019498146226,-46.646290905070714,64.40625209618756,148.72229713313354,7.477760000000001,937.26,1021.08,2255    
1711233797,e49a47,-23.642764333951277,-46.64577268204596,64.14066666257158,149.1150546692714,7.80288,952.5,1028.7,2255    
1711233798,e49a47,-23.643035888671875,-46.64560953776038,64.14066666257158,149.1150546692714,7.477760000000001,952.5,1036.32,2255    
1711233799,e49a47,-23.643539428710938,-46.64525349934894,64.84647734720757,148.95829007451138,6.827520000000001,960.12,1036.32,2255    
1711233800,e49a47,-23.64404296875,-46.64494832356769,64.84647734720757,148.95829007451138,6.827520000000001,967.74,1051.56,2255    
1711233801,e49a47,-23.644546508789062,-46.64464314778644,64.67483902952121,148.33278357056383,7.80288,975.36,1059.18,2255    
1711233802,e49a47,-23.645095825195312,-46.644236246744754,64.67483902952121,148.33278357056383,8.77824,982.98,1066.8,2255    
1711233803,e49a47,-23.645599365234375,-46.643931070963504,64.58270229080972,149.34933204294714,8.45312,990.6,1074.42,2255    
1711233804,e49a47,-23.646069542836358,-46.643596145341974,64.76684469545819,149.97287576678693,8.45312,1005.84,1082.04,2255    
1711233805,e49a47,-23.6466064453125,-46.643320719401004,64.91174399501416,151.60698057861703,8.45312,1013.46,1089.66,2255    
1711233806,e49a47,-23.64715576171875,-46.643015543619754,65.10918378769964,153.23249108070382,8.128,1021.08,1097.28,2255    
1711233807,e49a47,-23.647652318922155,-46.64276698850233,65.35868792199072,154.84688286152561,7.152640000000001,1028.7,1104.9,2255    
1711233808,e49a47,-23.648345947265625,-46.6424560546875,66.40314340477336,157.20940915821498,6.1772800000000005,1036.3200000000002,1127.7600000000002,2255    
1711233809,e49a47,-23.6488626771054,-46.642248765477575,67.20340107617947,160.31667245355897,6.1772800000000005,1043.94,1127.76,2255    
1711233810,e49a47,-23.649124145507812,-46.64215087890625,67.67627649204422,161.84050953321324,6.827520000000001,1043.94,1135.38,2255    
1711233811,e49a47,-23.649886826337422,-46.641886009360235,68.05065543124275,163.75712089730243,7.80288,1051.56,1135.3799999999999,2255    
1711233812,e49a47,-23.650588989257812,-46.641743977864564,68.37462024528868,166.06831075819701,8.77824,1066.8,1150.6200000000001,2255    
1711233813,e49a47,-23.651190288996304,-46.641575075545404,68.51382110921294,169.61819484076176,9.42848,1074.42,1165.8600000000001,2255    
1711233814,e49a47,-23.651824951171875,-46.641489664713504,69.11569977873913,171.86989764584402,9.10336,1082.04,1173.48,2255    
1711233815,e49a47,-23.6524658203125,-46.641387939453125,69.31071002432937,174.0355128987469,9.10336,1089.66,1181.1000000000001,2255    
1711233816,e49a47,-23.653098930746864,-46.64136778633548,69.64021416478558,175.76360520094119,8.77824,1104.9,1188.72,2255    
1711233817,e49a47,-23.653797214314125,-46.641315964033026,70.05699827516962,177.05355261998767,8.128,1112.52,1196.3400000000001,2255    
1711233818,e49a47,-23.65411376953125,-46.64128621419269,70.49572377042318,178.74554837731847,7.152640000000001,1112.52,1203.96,2255    
1711233819,e49a47,-23.6547748113083,-46.641315964033026,70.99513590306819,179.58482045885515,7.152640000000001,1120.14,1211.5800000000002,2255    
1711233820,e49a47,-23.655379990399922,-46.641315964033026,72.08827245616652,182.45403167452707,6.1772800000000005,1127.76,1219.2,2255    
1711233821,e49a47,-23.65631103515625,-46.64136778633548,72.71880212686686,184.05673786129486,5.8521600000000005,1135.38,1226.8200000000002,2255    
1711233822,e49a47,-23.656997680664062,-46.641438802083314,72.89328388242275,185.67035734389387,5.8521600000000005,1143.0,1226.8200000000002,2255    
1711233823,e49a47,-23.6575927734375,-46.64154052734375,73.63561003847506,187.22431569404532,5.8521600000000005,1150.6200000000001,1234.44,2255    
1711233824,e49a47,-23.657986915717686,-46.641575075545404,74.00308679177678,189.20040046907033,5.52704,1150.6200000000001,1242.0600000000002,2255    
1711233825,e49a47,-23.658599853515625,-46.641693115234375,74.68125271051673,189.91652612090726,5.52704,1158.24,1242.0600000000002,2255    
1711233826,e49a47,-23.659561157226562,-46.64189656575519,75.06300336587553,191.46395301569254,5.52704,1165.8600000000001,1249.68,2255    
1711233827,e49a47,-23.659895557468246,-46.6419896539652,75.49892930585948,192.9946167919165,4.8768,1165.8600000000001,1257.3000000000002,2255    
1711233828,e49a47,-23.660919706700213,-46.642300587780085,76.11859174784074,194.88152970314056,4.22656,1173.48,1264.92,2255    
1711233829,e49a47,-23.661571438029682,-46.64250787698995,77.1666,196.26020470831193,2.9260800000000002,1181.1000000000001,1264.92,2255    
1711233830,e49a47,-23.662269721596942,-46.64271516619988,78.90470898764154,199.02560603756868,2.27584,1181.1000000000001,1272.5400000000002,2255    
1711233831,e49a47,-23.662921452926412,-46.642974277712256,79.42122362962827,200.0782294774148,2.27584,1188.72,1272.5400000000002,2255    
1711233832,e49a47,-23.663247318591118,-46.64312974461967,80.05680932804225,202.2800027185423,2.9260800000000002,1188.72,1280.16,2255    
1711233833,e49a47,-23.664276123046875,-46.643625895182254,81.06697284779511,203.96248897457818,3.2512000000000003,1196.3400000000001,1280.16,2255    
1711233834,e49a47,-23.6649697513904,-46.643958901459314,81.906529019172,206.0822330031347,3.2512000000000003,1196.3400000000001,1287.7800000000002,2255    
1711233835,e49a47,-23.665603637695312,-46.64433797200519,82.61432474328107,207.8416260699578,3.2512000000000003,1196.3400000000001,1287.7800000000002,2255    
1711233836,e49a47,-23.665993900622368,-46.64452894678652,83.09982582440018,208.4689189965943,3.5763200000000004,1203.96,1287.7800000000002,2255    
1711233837,e49a47,-23.666971497616544,-46.64515081441624,83.91116253612078,210.18058224820996,3.2512000000000003,1203.96,1295.4,2255    
1711233838,e49a47,-23.667251586914062,-46.645355224609375,84.52551316706368,211.56181184164936,3.2512000000000003,1203.96,1295.4,2255    
1711233839,e49a47,-23.668228408037635,-46.646083615860846,84.52551316706368,211.56181184164936,3.2512000000000003,1211.5800000000002,1295.4,2255    
1711233840,e49a47,-23.66850772146455,-46.646290905070714,85.47359725259773,214.45524112499322,3.2512000000000003,1211.5800000000002,1303.0200000000002,2255    
1711233841,e49a47,-23.66850772146455,-46.646290905070714,85.47359725259773,214.45524112499322,3.2512000000000003,1211.5800000000002,1303.0200000000002,2255    
1711233842,e49a47,-23.66850772146455,-46.646290905070714,87.41461754788914,219.02843410220356,5.52704,1211.5800000000002,1303.0200000000002,2255    
1711233843,e49a47,-23.66850772146455,-46.646290905070714,87.41461754788914,219.02843410220356,5.52704,1211.5800000000002,1303.0200000000002,2255    
1711233844,e49a47,-23.6707763671875,-46.648152669270814,87.88564718618257,220.96507248386902,6.1772800000000005,1226.8200000000002,1318.2600000000002,2255    
1711233845,e49a47,-23.671875,-46.64922078450519,88.1787629988972,221.68905848538856,6.1772800000000005,1234.44,1325.88,2255    
1711233846,e49a47,-23.671875,-46.64922078450519,88.1787629988972,221.68905848538856,6.1772800000000005,1234.44,1325.88,2255    
1711233847,e49a47,-23.673023288532875,-46.65043668926887,89.14143363110333,223.8308606720926,5.52704,1249.68,1341.1200000000001,2255    
1711233848,e49a47,-23.673614501953125,-46.65105183919269,89.12955721182122,224.2984540876548,5.52704,1257.3,1341.1200000000001,2255    
1711233849,e49a47,-23.673614501953125,-46.65105183919269,89.48664287142014,225.0,5.52704,1257.3,1348.74,2255    
1711233850,e49a47,-23.674758911132812,-46.65232340494788,90.2611020059174,226.8476102659946,5.8521600000000005,1264.92,1356.3600000000001,2255    
1711233851,e49a47,-23.675211243710294,-46.652872337485235,90.31972453726851,227.7702157972002,6.502400000000001,1272.54,1363.98,2255    
1711233852,e49a47,-23.675211243710294,-46.652872337485235,90.31972453726851,227.7702157972002,6.827520000000001,1272.54,1363.98,2255    
1711233853,e49a47,-23.675211243710294,-46.652872337485235,90.40173221636674,228.69138598645128,7.152640000000001,1272.54,1363.98,2255    
1711233854,e49a47,-23.676727294921875,-46.65471394856769,90.40173221636674,228.69138598645128,7.152640000000001,1287.78,1363.98,2255    
1711233855,e49a47,-23.676727294921875,-46.65471394856769,90.40173221636674,228.69138598645128,7.152640000000001,1287.78,1363.98,2255    
1711233856,e49a47,-23.676727294921875,-46.65471394856769,90.309468341277,230.77948582515592,8.45312,1287.78,1379.22,2255    
1711233857,e49a47,-23.67814403469282,-46.65660354326354,90.3856294374232,231.2383326896393,8.128,1310.64,1402.0800000000002,2255    
1711233858,e49a47,-23.67884231826008,-46.6575881670106,90.3856294374232,231.2383326896393,8.128,1318.26,1402.0800000000002,2255    
1711233859,e49a47,-23.67938232421875,-46.658274332682254,90.3856294374232,231.2383326896393,8.128,1325.88,1424.94,2255    
1711233860,e49a47,-23.67938232421875,-46.658274332682254,90.46757737460864,231.6963776161997,7.80288,1325.88,1424.94,2255    
1711233861,e49a47,-23.68019233315681,-46.65935012529479,90.46757737460864,231.6963776161997,7.80288,1341.1200000000001,1424.94,2255    
1711233862,e49a47,-23.68019233315681,-46.65935012529479,90.55529644244427,232.1535643183944,6.827520000000001,1341.1200000000001,1440.18,2255    
1711233863,e49a47,-23.680938720703125,-46.66046142578125,90.55529644244427,232.1535643183944,6.502400000000001,1348.74,1447.8,2255    
1711233864,e49a47,-23.680938720703125,-46.66046142578125,90.55529644244427,232.1535643183944,6.502400000000001,1348.74,1447.8,2255    
1711233865,e49a47,-23.68233373609644,-46.66240764114093,90.55529644244427,232.1535643183944,6.502400000000001,1363.98,1447.8,2255    
1711233866,e49a47,-23.682566497285507,-46.66271857495576,91.36994684301354,232.54942176826327,5.8521600000000005,1371.6000000000001,1470.66,2255    
