time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,callsign
1711279808,e486c3,-23.640243530273438,-46.647186279296875,80.49034949140972,147.52880770915152,13.980160000000001,944.88,998.22,TAM3004 
1711279809,e486c3,-23.640884399414062,-46.64683024088538,80.49034949140972,147.52880770915152,12.354560000000001,952.5,1005.84,TAM3004 
1711279810,e486c3,-23.6414794921875,-46.646372477213504,80.49034949140972,147.52880770915152,10.40384,967.74,1013.46,TAM3004 
1711279811,e486c3,-23.6417867369571,-46.6461354381633,80.49034949140972,147.52880770915152,10.40384,967.74,1013.46,TAM3004 
1711279812,e486c3,-23.64243846828657,-46.64566903744105,80.49034949140972,147.52880770915152,8.45312,975.36,1036.32,TAM3004 
1711279813,e486c3,-23.643173217773438,-46.64520263671875,80.767708,147.22091933193045,7.80288,982.98,1043.94,TAM3004 
1711279814,e486c3,-23.644088745117188,-46.64459228515625,81.91137560715161,147.30801581742793,6.827520000000001,990.6,1059.18,TAM3004 
1711279815,e486c3,-23.644766080177476,-46.644062546064276,82.19037874773666,147.00620107409216,6.1772800000000005,998.22,1066.8,TAM3004 
1711279816,e486c3,-23.6455078125,-46.643524169921875,82.90213583516883,146.90160623816757,5.52704,1005.84,1074.42,TAM3004 
1711279817,e486c3,-23.64611609507415,-46.64312974461967,83.61416449313904,146.7987924497313,5.20192,1013.46,1082.04,TAM3004 
1711279818,e486c3,-23.646697998046875,-46.642710367838504,83.61416449313904,146.7987924497313,5.20192,1013.46,1082.04,TAM3004 
1711279819,e486c3,-23.64732645325745,-46.642300587780085,84.75689332005737,146.88865803962798,4.22656,1021.08,1089.66,TAM3004 
1711279820,e486c3,-23.64793163234907,-46.64178236475527,85.46895266359518,146.78818329910763,4.55168,1021.08,1089.66,TAM3004 
1711279821,e486c3,-23.648574829101562,-46.64133707682288,86.1812704946539,146.6893691754392,4.55168,1028.7,1104.9,TAM3004 
1711279822,e486c3,-23.649261474609375,-46.640879313151004,86.89384045632971,146.59217541029105,4.55168,1036.3200000000002,1104.9,TAM3004 
1711279823,e486c3,-23.650305796477767,-46.64017587337855,86.89384045632971,146.59217541029105,4.55168,1036.3200000000002,1104.9,TAM3004 
1711279824,e486c3,-23.650305796477767,-46.64017587337855,87.3237436399492,146.77802483328855,3.90144,1036.3200000000002,1104.9,TAM3004 
1711279825,e486c3,-23.650445453191196,-46.64002040647108,88.31971235887526,146.40249423438908,2.9260800000000002,1043.94,1104.9,TAM3004 
1711279826,e486c3,-23.651143736758513,-46.639502183446325,89.46150098059933,146.49269351130997,1.6256000000000002,1043.94,1120.14,TAM3004 
1711279827,e486c3,-23.65207478151484,-46.63888031581661,90.6035057298582,146.58061918222813,1.30048,1043.94,1120.14,TAM3004 
1711279828,e486c3,-23.653152465820312,-46.63818359375,91.46403449984568,146.93560254326744,1.30048,1043.94,1112.52,TAM3004 
1711279829,e486c3,-23.653704109838486,-46.63774022516213,92.48552845540496,147.72435568542238,1.6256000000000002,1051.56,1112.52,TAM3004 
1711279830,e486c3,-23.654342651367188,-46.63731892903644,93.69662221072535,148.9283419391537,1.95072,1051.56,1127.76,TAM3004 
1711279831,e486c3,-23.655147229210797,-46.636807423717585,94.69263819197782,150.37094559280717,1.6256000000000002,1051.56,1120.1399999999999,TAM3004 
1711279832,e486c3,-23.655899047851562,-46.63645426432288,95.72115060590035,152.47092812754337,1.95072,1059.18,1120.1399999999999,TAM3004 
1711279833,e486c3,-23.656723022460938,-46.63609822591144,96.87541938898482,154.52357371015634,3.2512000000000003,1059.18,1127.76,TAM3004 
1711279834,e486c3,-23.65780070676641,-46.63556368845815,98.98736758360263,159.3045492659367,3.2512000000000003,1059.18,1135.38,TAM3004 
1711279835,e486c3,-23.658871408236223,-46.63520093234081,100.2123179314532,161.75107578158554,3.2512000000000003,1066.8,1143.0,TAM3004 
1711279836,e486c3,-23.659332275390625,-46.635030110677064,100.2123179314532,161.75107578158554,3.2512000000000003,1066.8,1135.3799999999999,TAM3004 
1711279837,e486c3,-23.659332275390625,-46.635030110677064,101.33893931255322,164.69386102591014,3.5763200000000004,1066.8,1143.0,TAM3004 
1711279838,e486c3,-23.66143798828125,-46.63457234700519,103.35076251256669,170.25635871296285,3.2512000000000003,1074.42,1150.6200000000001,TAM3004 
1711279839,e486c3,-23.662353515625,-46.634419759114564,104.64858237763032,173.22434383060101,3.5763200000000004,1082.04,1150.6200000000001,TAM3004 
1711279840,e486c3,-23.663314819335938,-46.63431803385413,105.74295995949802,175.8150838748816,3.5763200000000004,1082.04,1158.24,TAM3004 
1711279841,e486c3,-23.664271467823085,-46.6342681308962,106.53463286883454,178.33971763101718,3.90144,1089.66,1158.24,TAM3004 
1711279842,e486c3,-23.665295617055108,-46.6342681308962,106.53463286883454,178.33971763101718,3.90144,1089.66,1165.8600000000001,TAM3004 
1711279843,e486c3,-23.6663818359375,-46.63426717122394,107.52002672022897,180.27414039373323,4.22656,1097.28,1173.48,TAM3004 
1711279844,e486c3,-23.666878393140905,-46.63431995319871,108.60740159211765,181.90011096557686,4.55168,1097.28,1173.48,TAM3004 
