route,count,n_anom_IsolationForest,frac_anom_IsolationForest,n_anom_OC-SVM,frac_anom_OC-SVM,n_anom_Autoencoder,frac_anom_Autoencoder,true_label
statevectors_e47e7f_1711395947_1711405562.csv,3868,610,0.1577042399172699,3868,1.0,3868,1.0,1
statevectors_e47f76_1710862231_1710871507.csv,3343,752,0.2249476518097517,3343,1.0,3343,1.0,1
statevectors_e47f76_1711659314_1711665465.csv,4026,832,0.20665673124689518,4026,1.0,4026,1.0,1
statevectors_e47fa8_1710793222_1710797994.csv,2448,418,0.1707516339869281,2448,1.0,2448,1.0,0
statevectors_e48043_1711129059_1711142125.csv,4954,766,0.1546225272507065,4954,1.0,4954,1.0,1
statevectors_e48053_1711369603_1711374509.csv,2298,465,0.20234986945169714,2298,1.0,2298,1.0,0
statevectors_e4805d_1710792096_1710801396.csv,1776,257,0.1447072072072072,1776,1.0,1776,1.0,1
statevectors_e4805d_1711551450_1711556599.csv,2929,608,0.20757937862751794,2929,1.0,2929,1.0,0
statevectors_e4808c_1711290243_1711303304.csv,5721,663,0.11588883062401678,5721,1.0,5721,1.0,1
statevectors_e48274_1711051740_1711061939.csv,3597,550,0.1529051987767584,3597,1.0,3597,1.0,1
statevectors_e4827e_1711042927_1711055700.csv,3493,591,0.16919553392499284,3493,1.0,3493,1.0,1
statevectors_e482c0_1711647545_1711655194.csv,5783,1341,0.2318865640670932,5783,1.0,5783,1.0,1
statevectors_e48394_1711098991_1711105905.csv,5385,1363,0.2531104921077066,5385,1.0,5385,1.0,1
statevectors_e48396_1711574580_1711579933.csv,2989,308,0.10304449648711944,2989,1.0,2989,1.0,1
statevectors_e48502_1711043804_1711048588.csv,2594,410,0.15805705474171164,2594,1.0,2594,1.0,0
statevectors_e4851a_1710974931_1710985991.csv,4330,594,0.1371824480369515,4330,1.0,4330,1.0,1
statevectors_e4851b_1711560397_1711574235.csv,4172,744,0.17833173537871524,4172,1.0,4172,1.0,1
statevectors_e486c2_1711222278_1711233194.csv,3346,525,0.15690376569037656,3346,1.0,3346,1.0,1
statevectors_e486c3_1711300201_1711313169.csv,4239,686,0.16183062042934654,4239,1.0,4239,1.0,1
statevectors_e48950_1711545853_1711551006.csv,2644,450,0.170196671709531,2644,1.0,2644,1.0,0
statevectors_e48976_1711481460_1711487597.csv,3380,493,0.14585798816568046,3380,1.0,3380,1.0,0
statevectors_e48ad4_1711472703_1711486508.csv,4057,571,0.1407443924081834,4057,1.0,4057,1.0,1
statevectors_e48c04_1711562172_1711578294.csv,3982,641,0.1609743847312908,3982,1.0,3982,1.0,1
statevectors_e48c2f_1709931216_1709935934.csv,2287,271,0.1184958460865763,2287,1.0,2287,1.0,0
statevectors_e48c4d_1711459373_1711464526.csv,3441,615,0.17872711421098517,3441,1.0,3441,1.0,0
statevectors_e48db0_1711648555_1711665305.csv,3766,575,0.1526818906001062,3766,1.0,3766,1.0,1
statevectors_e48db2_1711050900_1711060393.csv,3047,447,0.14670167377748605,3047,1.0,3047,1.0,1
statevectors_e48dc2_1711307303_1711319769.csv,3839,732,0.19067465485803595,3839,1.0,3839,1.0,1
statevectors_e48e46_1711482771_1711493324.csv,2557,398,0.1556511536957372,2557,1.0,2557,1.0,1
statevectors_e48e78_1711152603_1711157368.csv,2827,425,0.15033604527767952,2827,1.0,2827,1.0,0
statevectors_e48e88_1711467584_1711472887.csv,2717,414,0.15237394184762607,2717,1.0,2717,1.0,0
statevectors_e48eff_1711044184_1711060059.csv,3945,620,0.15716096324461343,3945,1.0,3945,1.0,1
statevectors_e491ef_1711480041_1711492577.csv,5891,686,0.11644882023425565,5891,1.0,5891,1.0,1
statevectors_e4923f_1711188578_1711204223.csv,2703,696,0.25749167591564925,2703,1.0,2703,1.0,1
statevectors_e4923f_1711562539_1711575168.csv,3536,695,0.1965497737556561,3536,1.0,3536,1.0,1
statevectors_e49406_1711136490_1711146225.csv,2466,327,0.13260340632603407,2466,1.0,2466,1.0,1
statevectors_e49406_1711389103_1711405667.csv,4166,700,0.16802688430148824,4166,1.0,4166,1.0,1
statevectors_e49443_1711360148_1711365234.csv,2666,387,0.14516129032258066,2666,1.0,2666,1.0,0
statevectors_e49444_1711296244_1711319996.csv,4199,900,0.21433674684448678,4199,1.0,4199,1.0,1
statevectors_e49524_1710877391_1710887217.csv,3082,535,0.17358857884490592,3082,1.0,3082,1.0,1
statevectors_e4952f_1711475800_1711492351.csv,4298,668,0.1554211261051652,4298,1.0,4298,1.0,1
statevectors_e495d8_1711586447_1711591578.csv,2680,364,0.13582089552238805,2680,1.0,2680,1.0,0
statevectors_e495db_1710859195_1710864079.csv,2534,369,0.1456195737963694,2534,1.0,2534,1.0,0
statevectors_e49697_1711137082_1711146915.csv,2605,341,0.1309021113243762,2605,1.0,2605,1.0,1
statevectors_e49763_1710873120_1710888308.csv,3638,505,0.13881253435953822,3638,1.0,3638,1.0,1
statevectors_e497fa_1710845473_1710869555.csv,3580,405,0.11312849162011174,3580,1.0,3580,1.0,1
statevectors_e4982e_1711042628_1711047748.csv,3466,781,0.22533179457587998,3466,1.0,3466,1.0,0
statevectors_e4988b_1711571170_1711577227.csv,3487,588,0.16862632635503297,3487,1.0,3487,1.0,1
statevectors_e4988c_1711482294_1711493266.csv,3303,690,0.2089009990917348,3303,1.0,3303,1.0,1
statevectors_e4988e_1711569944_1711579427.csv,2627,321,0.12219261515036163,2627,1.0,2627,1.0,1
statevectors_e49956_1711395096_1711406001.csv,3372,662,0.1963226571767497,3372,1.0,3372,1.0,1
statevectors_e49958_1709900539_1709905525.csv,2835,363,0.12804232804232804,2835,1.0,2835,1.0,0
statevectors_e4999d_1711478105_1711492712.csv,3697,685,0.18528536651338923,3697,1.0,3697,1.0,1
statevectors_e4999f_1711569324_1711579022.csv,3252,422,0.12976629766297662,3252,1.0,3252,1.0,1
statevectors_e49a47_1711233792_1711244981.csv,3746,489,0.13053924185798185,3746,1.0,3746,1.0,1
statevectors_e49a86_1709900394_1709905289.csv,2625,420,0.16,2625,1.0,2625,1.0,0
statevectors_e49a86_1711475645_1711489055.csv,3717,910,0.2448210922787194,3717,1.0,3717,1.0,1
statevectors_e49a87_1711035032_1711041140.csv,3454,698,0.2020845396641575,3454,1.0,3454,1.0,0
statevectors_e49a8a_1711546341_1711559500.csv,3323,761,0.22900993078543486,3323,1.0,3323,1.0,1
statevectors_e49a8b_1710809097_1710814086.csv,2445,443,0.18118609406952965,2445,1.0,2445,1.0,0
statevectors_e49a9f_1711024130_1711029250.csv,2281,419,0.183691363437089,2281,1.0,2281,1.0,0
